;;;;
File id ;File path;Word id ;Label ;Speaker id 
1;ASMDD/speaker_14_b_100/9.wav;9;Correct ;14
2;ASMDD/speaker_00_g_100/9.wav;9;Correct ;0
3;ASMDD/speaker_01_g_100/9_N.wav;9;Incorrect ;1
4;ASMDD/speaker_02_g_100/09.wav;9;Correct ;2
5;ASMDD/speaker_03_b_100/9.wav;9;Correct;3
6;ASMDD/speaker_04_g_100/09_N.wav;9;Incorrect ;4
7;ASMDD/speaker_05_g_100/9.wav;9;Correct;5
8;ASMDD/speaker_07_b_100/9_N.wav;9;Incorrect ;7
9;ASMDD/speaker_06_g_100/9.wav;9;Correct ;6
10;ASMDD/speaker_09_b_100/09.wav;9;Correct;9
11;ASMDD/speaker_10_b_100/09.wav;9;Correct;10
12;ASMDD/speaker_12_b_100/9.wav;9;Correct;12
13;ASMDD/speaker_13_b_100/9.wav;9;Correct;13
14;ASMDD/speaker_15_b_100/09.wav;9;Correct;15
15;ASMDD/speaker_16_b_100/09.wav;9;Correct ;16
16;ASMDD/speaker_17_b_100/09.wav;9;Correct;17
17;ASMDD/speaker_19_b_100/09.wav;9;Correct ;19
18;ASMDD/speaker_18_b_100/09.wav;9;Correct;18
19;ASMDD/speaker_20_b_100/09.wav;9;Correct;20
20;ASMDD/speaker_21_b_100/09.wav;9;Correct;21
21;ASMDD/speaker_22_b_100/09.wav;9;Correct;22
22;ASMDD/speaker_24_g_100/09.wav;9;Correct;24
23;ASMDD/speaker_30_b_100/9.wav;9;correct ;30
24;ASMDD/speaker_29_b_100/09.wav;9;Correct;29
25;ASMDD/speaker_28_b_100/9.wav;9;Correct;28
26;ASMDD/speaker_27_b_100/09.wav;9;Correct;27
27;ASMDD/speaker_26_g_100/9.wav;9;Correct;26
28;ASMDD/speaker_25_b_100/09.wav;9;Correct;25
29;ASMDD/speaker_31_g_50/9.wav;9;Correct;31
30;ASMDD/speaker_33_g_50/09.wav;9;Correct;33
31;ASMDD/speaker_34_b_50/09.wav;9;Correct;34
32;ASMDD/speaker_36_b_50/09.wav;9;Correct;36
33;ASMDD/speaker_37_g_50/09.wav;9;Correct;37
34;ASMDD/speaker_45_b_50/9.wav;9;Correct;45
35;ASMDD/speaker_51_b_50/9.wav;9;Correct;51
36;ASMDD/speaker_52_b_50/9.wav;9;Correct;52
37;ASMDD/speaker_54_b_50/9.wav;9;Correct;54
38;ASMDD/speaker_61_b_50/09.wav;9;Correct;61
39;ASMDD/speaker_62_b_50/09.wav;9;Correct;62
40;ASMDD/speaker_63_g_50/09.wav;9;Correct;63
41;ASMDD/speaker_64_b_50/09.wav;9;Correct;64
42;ASMDD/speaker_65_b_50/09.wav;9;Correct;65
43;ASMDD/speaker_69_b_50/09.wav;9;Correct;69
44;ASMDD/speaker_70_g_50/09.wav;9;Correct;70
45;ASMDD/speaker_73_b_50/09.wav;9;Correct;73
46;ASMDD/speaker_74_b_50/09.wav;9;Correct;74
47;ASMDD/speaker_75_b_50/09.wav;9;Correct;75
48;ASMDD/speaker_76_b_50/09.wav;9;Correct;76
49;ASMDD/speaker_77_b_50/09.wav;9;Correct;77
50;ASMDD/speaker_78_b_50/09.wav;9;Correct;78
51;ASMDD/speaker_79_g_50/09.wav;9;Correct;79
52;ASMDD/speaker_82_b_50/09.wav;9;Correct;82
53;ASMDD/speaker_84_g_50/09.wav;9;Correct;84
54;ASMDD/speaker_83_b_50/9.wav;9;Correct;83
55;ASMDD/speaker_85_g_50/09.wav;9;Correct;85
56;ASMDD/speaker_86_b_50/09.wav;9;Correct;86
57;ASMDD/speaker_87_b_50/09.wav;9;Correct;87
58;ASMDD/speaker_88_g_50/9.wav;9;Correct;88
59;ASMDD/speaker_89_b_50/9.wav;9;Correct;89
60;ASMDD/speaker_90_b_50/09.wav;9;Correct;90
61;ASMDD/speaker_94_b_50/09.wav;9;Correct;94
62;ASMDD/speaker_95_b_50/9.wav;9;Correct;95
63;ASMDD/speaker_97_g_50/9.wav;9;Correct;97
64;ASMDD/speaker_98_b_50/9.wav;9;Correct;98
65;ASMDD/speaker_99_b_50/9.wav;9;Correct;99
66;ASMDD/speaker_32_g_50/09.wav;9;Correct;32
67;ASMDD/speaker_11_b_100/9_N.wav;9;Incorrect ;11
68;ASMDD/speaker_53_b_50/9_N.wav;9;Incorrect ;53
69;ASMDD/speaker_68_b_50/9_N.wav;9;Incorrect ;68
70;ASMDD/speaker_81_g_50/9_N.wav;9;Incorrect ;81
71;ASMDD/speaker_23_b_100/09_N.wav;9;Incorrect ;23
72;ASMDD/speaker_30_b_100/15.wav;15;Correct;30
73;ASMDD/speaker_29_b_100/15.wav;15;Correct;29
74;ASMDD/speaker_28_b_100/15.wav;15;Correct;28
75;ASMDD/speaker_27_b_100/15.wav;15;Correct;27
76;ASMDD/speaker_26_g_100/15.wav;15;Correct;26
77;ASMDD/speaker_25_b_100/15.wav;15;Correct;25
78;ASMDD/speaker_31_g_50/15.wav;15;Correct;31
79;ASMDD/speaker_41_b_50/15.wav;15;Correct;41
80;ASMDD/speaker_45_b_50/15.wav;15;Correct;45
81;ASMDD/speaker_46_b_50/15.wav;15;Correct;46
82;ASMDD/speaker_51_b_50/15.wav;15;Correct;51
83;ASMDD/speaker_53_b_50/15.wav;15;Correct;53
84;ASMDD/speaker_55_b_50/15.wav;15;Correct;55
85;ASMDD/speaker_61_b_50/15.wav;15;Correct;61
86;ASMDD/speaker_62_b_50/15.wav;15;Correct;62
87;ASMDD/speaker_63_g_50/15.wav;15;Correct;63
88;ASMDD/speaker_64_b_50/15.wav;15;Correct;64
